H C N O F Pred GT
1.0957994 0.025264595 0.0075268447 -0.11618517 0.5986731 H O
1.069895 0.102702685 -0.17576899 0.30807638 1.0880051 F C
0.8686879 0.1513425 0.09101711 0.5017462 1.3067206 F C
1.1114408 -0.1379755 -0.050343998 -0.13603258 0.8305899 H C
1.1765242 0.07117613 0.12556744 -0.02960396 0.59973925 H C
0.6209738 0.015038952 0.02878964 0.29354507 0.18953018 H N
1.1039256 -0.111101806 -0.01671713 0.8134659 0.80704397 H C
1.1977806 0.10065225 0.128996 0.40806374 0.84447336 H C
1.0573708 -0.035538398 0.9807772 0.6547117 0.77623194 H H
-0.022877062 1.1330966 0.93176425 -0.114690244 0.94249886 C H
-0.014665365 0.001378715 0.7957634 0.05085629 0.030312998 N H
-0.060266547 1.0279468 0.8593344 0.060611095 0.7667313 C H
-0.15106016 1.0146704 0.9750601 0.47480983 0.019006325 C H
0.03598158 0.4787897 0.87106353 0.08606782 0.19017401 N H
1.1394287 -0.018079072 1.062971 0.17566812 0.49066827 H H
0.10189238 1.0782887 0.76428634 -0.08746518 -0.07114339 C H
-0.27526233 1.0328157 1.0159069 0.055278517 1.4069723 F H
