H C N O F Pred GT
1.0136445 -0.055198725 -0.017354071 0.17552903 1.0037435 H N
0.5254497 -0.10422524 -0.3131932 -0.16649789 1.0155857 F C
1.0430104 -0.27501386 -0.16781425 0.98863256 0.85878974 H C
0.8605459 -0.092983484 0.16092268 -0.29318386 1.1670806 F C
0.7872504 0.057869725 0.95073503 0.7368397 1.2009693 F O
1.271161 -0.11045524 -0.12996517 0.2433481 1.0673503 H C
0.8010136 0.12881932 0.44003582 0.9507592 1.1225572 F N
0.81947553 -0.0019268021 0.93905073 0.106907256 0.40127933 N H
-0.10140818 0.6880232 1.2320098 0.05559086 0.51157296 N H
0.029589152 0.9503421 -0.016563507 -0.212515 0.5955262 C H
-0.083482526 0.5970862 0.59425443 0.07840921 -0.17613739 C H
